caso;caso.o;grado;fecha;mtd;msm;vel;pre;curso;donde;util;aprender;empleo;formal;nivel;servicio;servicio.donde
38;5;Psicología;miércoles, 3 de abril de 2024, 18:34;Sí;Sí;66;96,6;No;;Sí;Sí;No;No;;No;
39;6;Psicología;domingo, 7 de abril de 2024, 14:19;Sí;No;44,8;94,8;No;;Sí;Sí;Sí;Sí;En el transcuerso de la secundaria.;No;
40;7;Psicología;miércoles, 3 de abril de 2024, 09:24;Sí;No;55,6;98,5;No;;Sí;Sí;Sí;Sí;En la ESO.;Sí;En la dermatóloga que escribió rápido y mal por no mirar.
41;8;Psicología;miércoles, 3 de abril de 2024, 09:23;No;Sí;63,8;96,1;No;;Sí;Sí;Sí;Sí;En el instituto como cualquier otra asignatura.;Sí;Hospitales, recepcionistas en dentistas, etc.
42;9;Psicología;miércoles, 3 de abril de 2024, 18:52;No;No;60;98;No;;Sí;Sí;Sí;Sí;En la educación secundaria;No;
43;10;Psicología;lunes, 8 de abril de 2024, 21:28;No;Sí;;75;No;no;Sí;Sí;Sí;Sí;no;Sí;En el médico de cabecera
44;11;Psicología;jueves, 4 de abril de 2024, 19:54;Sí;No;47,8;97,5;No;;Sí;Sí;Sí;Sí;Desde quinto o sexto de primaria, ya que no es una habilidad muy díficil de aprender y puede servir de cara al futuro.;No;
45;12;Psicología;lunes, 8 de abril de 2024, 11:30;No;Sí;49,4;96;Sí;En el instituto;Sí;Sí;Sí;Sí;En el instituto creo que es una época buena, ya que cada vez se van haciendo más a las tecnologías y empiezan a utilizar los ordenadores para hacer trabajos;No;
46;13;Psicología;lunes, 8 de abril de 2024, 11:26;No;No;41;98,1;No;;Sí;Sí;Sí;Sí;ESO;No;
47;14;Psicología;lunes, 8 de abril de 2024, 11:07;No;No;44;99;No;;Sí;Sí;Sí;Sí;ESO;No;
48;15;Psicología;sábado, 13 de abril de 2024, 12:12;Sí;No;43,2;98;No;;Sí;Sí;Sí;Sí;Alrededor de secundaria, ya que es cuando más se empiezan a utilizar los trabajos por ordenador. Podría facilitar el trabajo a los niños.;No;
49;16;Psicología;sábado, 6 de abril de 2024, 13:49;Sí;Sí;78,8;99;Sí;En una escuela oficial de mi pueblo;Sí;Sí;No;Sí;Durante la Educación Primaria;Sí;A la hora de ir al médico o cuando intentan registrar la información que vas contando, el hecho de no saber mecanografiar indica una escritura lenta en el teclado.
50;17;Psicología;domingo, 7 de abril de 2024, 23:45;Sí;Sí;38,8;97,5;No;;Sí;Sí;Sí;Sí;Creo que debería comenzar a enseñarse más o menos en la ESO;No;
51;18;Psicología;lunes, 8 de abril de 2024, 10:18;No;No;44,2;96,2;No;;Sí;Sí;Sí;Sí;En primaria y la ESO;No;
52;19;Psicología;lunes, 8 de abril de 2024, 11:07;No;No;49,5;95,5;No;;Sí;Sí;Sí;Sí;Secundaria y primaria;No;
53;20;Psicología;domingo, 7 de abril de 2024, 20:40;Sí;Sí;43;96,2;No;;Sí;Sí;No;Sí;Pienso que la mecanografía se podría comenzar a enseñar en educación primaria introduciendo programas interactivos o juegos diseñados para introducir conceptos básicos de esta y posteriormente en secundaria desarrollar habilidades más avanzadas.;No;
54;21;Psicología;martes, 2 de abril de 2024, 22:27;Sí;No;48,4;99;No;;Sí;Sí;Sí;Sí;1 hora a la semana en las aulas de educación primaria.;No;
55;22;Psicología;lunes, 8 de abril de 2024, 10:19;Sí;No;37,4;97,4;Sí;En la ESO, un refesor nos dió varias clases sobre mecanografía;Sí;Sí;Sí;Sí;En la ESO;No;
56;23;Psicología;domingo, 7 de abril de 2024, 11:40;No;No;29,2;95,4;No;;No;Sí;Sí;Sí;Supongo que se debería impartir en secundaria teniendo en cuenta que se hacen cosas más prácticas y cada vez se utilizan más las tecnologías.;No;
57;24;Psicología;sábado, 6 de abril de 2024, 19:35;No;No;51,8;98;No;;Sí;Sí;Sí;Sí;En el instituto.;No;
58;25;Psicología;miércoles, 3 de abril de 2024, 01:58;No;Sí;24,4;94,6;Sí;En casa.;Sí;No;Sí;Sí;Con 10 años, en 5º de primaria;No;
59;26;Psicología;jueves, 11 de abril de 2024, 23:00;Sí;Sí;75,8;99;No;;Sí;Sí;Sí;Sí;En el instituto (Educación Secundaria Obligatoria) podría realizarse en las clases de Tutoría o de Tecnología.;No;
60;27;Psicología;miércoles, 3 de abril de 2024, 11:51;Sí;Sí;63,8;98,5;Sí;Online por mi cuenta y en el instituto (4º de ESO en la asignatura de informática);Sí;Sí;Sí;Sí;Creo que en la ESO, en la asignatura de informática (TIC) podía ser interesante;Sí;Los dependientes de tiendas tipo Leroy Merlin, que están en los escritorios en los que se diseñan cocinas y muebles. En agencias de viajes. En las estaciones de registro de campeonatos internacionales
61;1;Logopedia;martes, 2 de abril de 2024, 13:18;Sí;Sí;34;93,4;No;;Sí;Sí;Sí;No;;No;
62;2;Logopedia;miércoles, 20 de marzo de 2024, 11:44;Sí;Sí;81;99,5;No;;Sí;No;Sí;Sí;A partir del segundo ciclo de Educación Primaria, donde el uso de las tecnologías se aplica cada vez más como método e instrumento de enseñanza. Aunque a decir verdad, siendo esta generación nativos digitales, considero que aprenden de manera más autónoma;No;
63;3;Logopedia;martes, 19 de marzo de 2024, 10:15;Sí;Sí;35,4;95,7;Sí;En el colegio;Sí;Sí;Sí;Sí;Durante la primaria, antes de empezar a trabajar con ordenadores de manera educativa;No;
64;4;Logopedia;miércoles, 20 de marzo de 2024, 10:36;No;No;56,4;93,5;No;;Sí;No;Sí;Sí;;Sí;
65;5;Logopedia;miércoles, 20 de marzo de 2024, 10:37;No;No;52,2;100;No;;Sí;Sí;Sí;Sí;Enseñanza Secundaria Obligatoria;No;
66;6;Logopedia;miércoles, 20 de marzo de 2024, 15:04;No;No;53;99;No;;No;No;No;No;;No;
67;7;Logopedia;miércoles, 20 de marzo de 2024, 19:55;Sí;Sí;55;99;No;;Sí;Sí;Sí;Sí;en la ESO;No;
68;8;Logopedia;miércoles, 20 de marzo de 2024, 10:38;Sí;No;60,4;98,5;No;;Sí;No;Sí;Sí;PRIMARIA;No;
69;9;Logopedia;martes, 19 de marzo de 2024, 10:16;Sí;Sí;61,8;97,6;No;;Sí;Sí;Sí;Sí;En la educación primaria;No;
70;10;Logopedia;jueves, 21 de marzo de 2024, 09:48;Sí;Sí;39;95,1;Sí;En el colegio.;Sí;Sí;Sí;Sí;Sí, lo considero importante en el colegio, a partir de primero de primaria.;No;
71;11;Logopedia;martes, 19 de marzo de 2024, 10:19;Sí;Sí;43;96,6;Sí;En internet;Sí;Sí;Sí;Sí;En bachillerato.;Sí;En la consulta médica.
72;12;Logopedia;jueves, 28 de marzo de 2024, 13:34;No;No;52;95,7;No;;Sí;Sí;Sí;No;;No;
73;13;Logopedia;martes, 19 de marzo de 2024, 10:27;Sí;Sí;35,4;92,7;No;;Sí;Sí;No;No;;No;
74;14;Logopedia;martes, 19 de marzo de 2024, 15:36;Sí;Sí;40;94;No;;Sí;Sí;Sí;Sí;Cuando el estudiante ya sea capaz de manejar lo más básico en un ordenador, para que así no pierda el tiempo tanto y su rendimiento mejore.;No;
75;15;Logopedia;martes, 19 de marzo de 2024, 10:16;Sí;No;47,8;95,7;No;;Sí;Sí;Sí;Sí;Educación primaria;No;
76;16;Logopedia;miércoles, 20 de marzo de 2024, 10:39;No;No;42,2;97,1;No;;Sí;Sí;Sí;Sí;A finales de la ESO, cuando los trabajos a ordenador son mas demandados.;No;
77;17;Logopedia;miércoles, 20 de marzo de 2024, 10:30;No;No;43,2;96,7;No;;Sí;Sí;Sí;Sí;Durante la ESO;Sí;En una consulta médica
78;18;Logopedia;miércoles, 20 de marzo de 2024, 10:34;No;No;52,2;97,6;No;;Sí;No;Sí;Sí;Nivel escolar;No;
79;19;Logopedia;miércoles, 17 de abril de 2024, 19:18;No;No;53,4;98,5;No;;Sí;Sí;Sí;Sí;A partir de 3º de la ESO;No;
80;20;Logopedia;martes, 19 de marzo de 2024, 10:17;No;No;19,6;90;Sí;;Sí;Sí;Sí;Sí;En las asignaturas de informática de secundaria;No;
81;21;Logopedia;lunes, 1 de abril de 2024, 20:37;No;No;36;96;Sí;En guadalinfo de mi pueblo;Sí;Sí;Sí;Sí;En quinto o sexto de primaria;No;
82;22;Logopedia;martes, 19 de marzo de 2024, 10:16;Sí;No;49,2;97,1;No;;Sí;Sí;Sí;Sí;A partir de 5º curso de educación primaria más o menos;Sí;
83;23;Logopedia;sábado, 30 de marzo de 2024, 22:35;Sí;No;29,2;93;No;;Sí;Sí;Sí;Sí;En el colegio;No;
84;24;Logopedia;martes, 19 de marzo de 2024, 10:17;Sí;No;49,2;96,2;Sí;En la biblioteca de mi pueblo.;Sí;Sí;Sí;Sí;En educación primaria.;Sí;En el centro de salud , en el ayuntamiento y en la casa de la juventud del pueblo.
85;25;Logopedia;miércoles, 20 de marzo de 2024, 20:13;No;Sí;48;98;No;;Sí;No;No;Sí;en el instituo;No;
86;26;Logopedia;viernes, 22 de marzo de 2024, 18:42;No;Sí;44,4;98,5;No;;Sí;Sí;Sí;Sí;al entrar en la ESO;No;
87;27;Logopedia;martes, 19 de marzo de 2024, 10:17;Sí;Sí;40,6;95,6;No;;Sí;Sí;Sí;Sí;En Primaria o los primeros cursos de la ESO;Sí;En el médico
88;28;Logopedia;miércoles, 20 de marzo de 2024, 10:35;Sí;No;38;96,9;No;;Sí;Sí;No;Sí;ESO/Bachillerato;No;
89;29;Logopedia;miércoles, 20 de marzo de 2024, 23:44;Sí;No;21;94,5;Sí;Bailen;No;Sí;Sí;Sí;Bachiller;No;
90;30;Logopedia;martes, 19 de marzo de 2024, 10:17;Sí;Sí;37,7;97,4;No;;Sí;Sí;Sí;Sí;En Educación primaria, en tecnología;No;
91;31;Logopedia;viernes, 5 de abril de 2024, 12:10;Sí;No;36,2;94,8;No;;Sí;Sí;Sí;Sí;En la ESO y en bachillerato;No;
92;32;Logopedia;martes, 19 de marzo de 2024, 10:17;No;No;44,6;97,1;No;;Sí;Sí;Sí;Sí;En Educación Primaria;Sí;En el Centro de Salud para pedir una cita médica
93;33;Logopedia;miércoles, 10 de abril de 2024, 11:42;No;Sí;36,6;98,9;No;;No;No;No;No;;No;
94;34;Logopedia;martes, 19 de marzo de 2024, 10:18;Sí;Sí;37,8;96,4;Sí;Clases de tecnología en Secundaria;Sí;Sí;Sí;Sí;Secundaria, los primeros cursos;No;
95;35;Logopedia;martes, 19 de marzo de 2024, 10:17;No;No;35,8;97,8;No;;Sí;Sí;No;Sí;Último curso de primaria o primero de ESO;No;
96;36;Logopedia;domingo, 24 de marzo de 2024, 12:23;No;No;33,6;95,5;No;;Sí;Sí;No;Sí;En primaria.;No;
97;37;Logopedia;martes, 19 de marzo de 2024, 11:26;Sí;Sí;49,8;97,1;No;;Sí;Sí;Sí;Sí;en el instituto;No;
98;38;Logopedia;martes, 19 de marzo de 2024, 10:18;Sí;No;41,2;93,9;No;;Sí;Sí;Sí;Sí;En bachiller, implementar algún curso, aunque sea optativo.;No;
99;39;Logopedia;domingo, 31 de marzo de 2024, 21:46;Sí;No;38,6;97;Sí;lo hice en el colegio con unos 7-8 años;Sí;No;Sí;Sí;deberia de ser obligatorio en el momento que se empieza a utilizar los ordenadores en clase;No;
100;40;Logopedia;miércoles, 20 de marzo de 2024, 22:25;Sí;Sí;43,2;99;Sí;typing club;Sí;Sí;No;No;;No;
101;41;Logopedia;miércoles, 20 de marzo de 2024, 15:25;No;No;29,6;96,7;No;;Sí;Sí;No;No;;No;
102;42;Logopedia;martes, 19 de marzo de 2024, 10:17;No;No;42,6;98;No;;Sí;Sí;Sí;Sí;Educación primaria;Sí;En el ayuntamiento y en el centro médico.
103;43;Logopedia;miércoles, 20 de marzo de 2024, 17:02;Sí;No;41;94,8;No;;Sí;Sí;Sí;No;;No;
104;44;Logopedia;jueves, 21 de marzo de 2024, 10:29;Sí;Sí;46,4;;No;no;Sí;Sí;Sí;Sí;Bachillerato;Sí;Medico
105;45;Logopedia;martes, 19 de marzo de 2024, 10:23;Sí;Sí;50;98,2;No;;Sí;Sí;Sí;Sí;Creo que en secundaria se debería de dar algún curso ya que muchos estudiantes después de la ESO se insertan en el mundo laboral, o hacer un Formación Profesional.;No;
106;46;Logopedia;viernes, 5 de abril de 2024, 12:08;Sí;No;38,2;96,5;No;;Sí;Sí;Sí;Sí;Bachillerato y ESO;No;
107;47;Logopedia;miércoles, 20 de marzo de 2024, 15:54;No;No;54;99;No;;Sí;Sí;No;No;;No;
108;48;Logopedia;martes, 19 de marzo de 2024, 10:19;Sí;Sí;44,6;91;Sí;en guadalinfo;Sí;No;Sí;Sí;en primaria debería tener ordenadores para comenzar a mecanografiar;Sí;sobre todo para recoger la historia clínica del paciente rápidamente y no perder tiempo
109;49;Logopedia;martes, 19 de marzo de 2024, 21:29;Sí;No;38,4;92,3;No;;Sí;Sí;No;No;;No;
